channel_name,address,город,район,coodsX,coodY
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Саина Толе би Ташкентская Момышулы,Алматы,Ауэзовский район,76.834068,43.242131
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинском района,Алматы,Алмалинский район,76.912738,43.251274
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"Розыбакиева или Гагарина, Бостандыкский район",Алматы,Бостандыкский район,76.89648,43.235012
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Драгон сити Салем базары жакта,Алматы,Жетысуский район,76.895686,43.300376
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыкский район,Алматы,Бостандыкский район,76.892411,43.202959
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нуркент мкр62,Алматы,Алатауский район,76.819754,43.253996
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),АлмалинскомБостандыкском районе ближе к Байконыр станции метро,Алматы,Бостандыкский район,76.921671,43.234157
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинском районе центр,Алматы,Алмалинский район,76.912738,43.251274
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк Жетису Парк,Алматы,Жетысуский район,76.949901,43.287657
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жарокова Жамбыла между Толе би и Абая,Алматы,Алмалинский район,76.897208,43.251574
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Медеуского Наурызбайского района,Алматы,Наурызбайский район,76.790634,43.206951
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Драгон сити Салем базары жакта,Алматы,Жетысуский район,76.895686,43.300376
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинском районе центр,Алматы,Алмалинский район,76.912738,43.251274
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),рядом с центральной мечетью и зеленым базаром,Алматы,Медеуский район,76.955077,43.263577
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),центр города,Алматы,Алатауский район,76.813287,43.258436
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),центр города,Алматы,Алатауский район,76.813287,43.258436
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"Бегалина 13, Медеуском районе",Алматы,Медеуский район,76.965079,43.255261
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),МЕДЕУСКИЙ РАЙОН ДУМАН 2,Алматы,Медеуский район,77.002331,43.28859
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалы немесе Бостандық районы Атакент,Алматы,Бостандыкский район,76.909414,43.22322
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Сейфуллина 515 Жк теремки,Алматы,Турксибский район,76.938966,43.327225
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),жарокова 164,Алматы,Бостандыкский район,76.900922,43.232041
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Таугуль1,Алматы,Ауэзовский район,76.837241,43.204045
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Dragon city Salem Bazaar,Алматы,Жетысуский район,76.896543,43.297869
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыковком или Алмалинском районе,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),улица Мустай Карим,Алматы,Ауэзовский район,76.855273,43.210735
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский Ауэзовский район,Алматы,Алмалинский район,76.870767,43.249506
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ТимерязеваГагарина,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),район Алмалинский Бостадынский,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"Раймбека 245, Жетысуский район",Алматы,Жетысуский район,76.899916,43.265391
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Шевченко 85,Алматы,Алмалинский район,76.93516,43.245935
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай 2 35 Толеби Сайна,Алматы,Ауэзовский район,76.837324,43.242256
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),тургутозала 94 тастак 2,Алматы,Ауэзовский район,76.861146,43.248712
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк Дом на Абая,Алматы,Бостандыкский район,76.896936,43.238051
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Абая Тургут Озала ЖК Гаухартас 13 этаж,Алматы,Бостандыкский район,76.883373,43.237467
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский рн,Алматы,Алатауский район,76.862412,43.256903
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай,Алматы,Ауэзовский район,76.833343,43.229398
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Симфония,Алматы,Бостандыкский район,76.875716,43.231449
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),около Москвы и Гранд парка,Алматы,Ауэзовский район,76.863859,43.227161
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Масанчи и корпуса Каспийского университета на Сейфуллина,Алматы,Алмалинский район,76.932022,43.256885
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ГоголяАбылай хана,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыкском районе,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыксий районнан Коктем123или Казну жанынан,Алматы,Бостандыкский район,76.920583,43.225266
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),в центре города,Алматы,Алмалинский район,76.935716,43.266526
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жилой комплекс,Алматы,Бостандыкский район,76.898774,43.200762
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ақсай 3а 52,Алматы,Ауэзовский район,76.828746,43.234553
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыкский Алмалинский район,Алматы,Бостандыкский район,76.929552,43.236508
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ауезовский Бостандыкский Алмалинский районы,Алматы,Бостандыкский район,76.882846,43.233847
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Абая Момышулы,Алматы,Ауэзовский район,76.838235,43.216853
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский медеуский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),6мкр Москва,Алматы,Ауэзовский район,76.868021,43.230709
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Толе би Муратбаева,Алматы,Алмалинский район,76.918589,43.253016
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),СайранАту универ дәл жанында,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Дарабоз 7 подъезд 1 Алматы аренаға қарамақарсы,Алматы,Алатауский район,76.820093,43.265465
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк Симфония,Алматы,Бостандыкский район,76.875716,43.231449
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Район Атакента Гагарина Тимирязева,Алматы,Бостандыкский район,76.932978,43.228526
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),район Бостандыкского ближе к Тимирязева,Алматы,Бостандыкский район,76.900985,43.207815
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Асыл Тау,Алматы,Бостандыкский район,76.885924,43.230699
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),2я Кастекская 18,Алматы,Алмалинский район,76.913951,43.265938
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖандосоваЖарокова,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бұхар Жарау 40а,Алматы,Бостандыкский район,76.914501,43.230656
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Навои Токтабаева,Алматы,Бостандыкский район,76.882968,43.211229
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Сатпаева Достык,Алматы,Медеуский район,76.957334,43.239386
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),мкр Кайрат Жк Тамарикс,Алматы,Турксибский район,76.995027,43.302101
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алматы Алмалинский Бостандыкский районы,Алматы,Бостандыкский район,76.929552,43.236508
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай 2 дом 76,Алматы,Ауэзовский район,76.840111,43.23557
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Улица Жапсарбаева 68,Алматы,Алатауский район,76.897707,43.32184
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),около достык плазы,Алматы,Медеуский район,76.957123,43.233057
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Абая Жарокова,Алматы,Алмалинский район,76.898966,43.239211
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Розыбакиева Тимирязева,Алматы,Бостандыкский район,76.89758,43.22533
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алма сити 5,Алматы,Наурызбайский район,76.776611,43.21646
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),микрорайон аккент 62,Алматы,Алатауский район,76.810293,43.241471
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Абая Алтынсарин,Алматы,Ауэзовский район,76.862451,43.226855
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),жк титаник,Алматы,Алмалинский район,76.877439,43.242164
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),жк Ырысты кең новый жклар евроремонт,Алматы,Алатауский район,76.855521,43.266434
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Казахфильм,Алматы,Бостандыкский район,76.906774,43.197269
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыкский район РозыбакиеваУтепова,Алматы,Бостандыкский район,76.906774,43.197269
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нуркент 515,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Медеуском районе,Алматы,Алмалинский район,76.938865,43.249497
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),гАлматы Сарыарка 14 к 2,Алматы,Ауэзовский район,76.856655,43.230326
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),улицы Саина или Розабакиева или Назарбаева,Алматы,Бостандыкский район,76.886599,43.189809
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ауезовский район 5 мкр 41 дом,Алматы,Ауэзовский район,76.863293,43.234093
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский район,Алматы,Алмалинский район,76.944792,43.250366
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Абая Ауезова,Алматы,Алмалинский район,76.90397,43.239548
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинский районан,Алматы,Алмалинский район,76.912738,43.251274
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Сейфуллина 467Б,Алматы,Алмалинский район,76.930709,43.267623
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Мега Парктың қасында,Алматы,Бостандыкский район,76.892411,43.202959
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),мкр9дом 39шаляпина береговой,Алматы,Медеуский район,76.961598,43.231285
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),СаинаУлугбека мкрАксай4,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Орбита1 34,Алматы,Бостандыкский район,76.882844,43.202518
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Райымбек 3511,Алматы,Алмалинский район,76.886939,43.25321
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Тимирязева 52,Алматы,Бостандыкский район,76.899381,43.225126
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Габдуллина Әуезовада,Алматы,Бостандыкский район,76.914974,43.230109
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жас Канат 134,Алматы,Турксибский район,76.976852,43.320959
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),мкр Кокжиек,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Таусарулы 706,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нусупбеков 172 Жангелдина жак,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Макатаева Наурызбай Батыр,Алматы,Алмалинский район,76.940335,43.264052
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк Зодиак,Алматы,Бостандыкский район,76.894306,43.223365
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),район Фурманова Хаджимукана,Алматы,Алмалинский район,76.946289,43.251283
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),проспект Райымбека 5906,Алматы,Алмалинский район,76.886939,43.25321
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай 3б дом 2 Толе би Яссауи,Алматы,Ауэзовский район,76.823622,43.236862
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Толе би Байтурсынова,Алматы,Алмалинский район,76.925706,43.253516
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Навои Таугуль 1,Алматы,Ауэзовский район,76.881112,43.217276
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"Абая Саина, Бостандыкский район, Алматы",Алматы,Медеуский район,76.949363,43.242635
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк Акниет Проспект Райымбека 4811,Алматы,Алатауский район,76.839844,43.248465
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Мкр Шугыла,Алматы,Наурызбайский район,76.787991,43.213963
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Утепова 21,Алматы,Бостандыкский район,76.89487,43.219086
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Таугуль1 дом 90,Алматы,Ауэзовский район,76.875704,43.214959
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),пересечения АБАЯ САИНА мкр Жетысу2 62 дом,Алматы,Ауэзовский район,76.84761,43.220449
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),улице Абая,Алматы,Медеуский район,76.959332,43.243317
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бокейханова 510Б Драгон ситиЖк новый,Алматы,Жетысуский район,76.895855,43.297696
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),2 кастекская 18,Алматы,Алмалинский район,76.913951,43.265938
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),"ЖК Байтал, Бостандыкский район",Алматы,Бостандыкский район,76.87227,43.203637
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),АбаяМанаса 1 этаж,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),мкр 8 дом 74 Москванын артында,Алматы,Ауэзовский район,76.867497,43.22842
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Раймбека 245б,Алматы,Жетысуский район,76.899475,43.266045
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),9микрорайон,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нуркент 57,Алматы,Алатауский район,76.820663,43.253938
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Сатпаева Розыбакиева,Алматы,Бостандыкский район,76.895427,43.235557
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),саина 6 в районе Азия парк,Алматы,Ауэзовский район,76.835991,43.24444
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ауэзовский район саина жандосова,Алматы,Ауэзовский район,76.863342,43.20816
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жамбыла Муратбаева,Алматы,Алмалинский район,76.91965,43.246215
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Островского 12,Алматы,Жетысуский район,76.935564,43.277921
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жарокова 290,Алматы,Бостандыкский район,76.904692,43.20451
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Барахолка жақДрагон сити,Алматы,Алатауский район,76.903826,43.321514
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Орбита4 дом 4 1 этаж,Алматы,Бостандыкский район,76.879616,43.196965
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Калкаман 157мектептин жанында,Алматы,Наурызбайский район,76.80187,43.219778
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Бостандыкский район Орбита,Алматы,Бостандыкский район,76.878978,43.199342
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Тастак1 напротив Сайрана,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),АбаяСаина,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аспандиярова 38,Алматы,Наурызбайский район,76.812436,43.224537
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Райымбек Ташкентская 3511 Жк Гүлдала,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Шевченко 85,Алматы,Алмалинский район,76.93516,43.245935
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),1 комнатную квартиру в районе Меги на Розыбакиева,Алматы,Турксибский район,76.948989,43.341148
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Кв 2х комнатная напротив Ботанического сада,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Асыл арман,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алама сити 5 10 этаж,Алматы,Наурызбайский район,76.776611,43.21646
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жк класса комфорт плюс,Алматы,Бостандыкский район,76.898774,43.200762
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нуркент ша Алгабас1 127,Алматы,Алатауский район,76.820663,43.253938
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аккент 52,Алматы,Алатауский район,76.811041,43.243893
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Утепова 19,Алматы,Бостандыкский район,76.895593,43.219137
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Нусупбекова 2314,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Сейфуллина 467Б,Алматы,Алмалинский район,76.930709,43.267623
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Аксай 525,Алматы,Ауэзовский район,76.833343,43.229398
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ауэзовском районе,Алматы,Ауэзовский район,76.876198,43.218362
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Ауэзовский район,Алматы,Ауэзовский район,76.840405,43.233788
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК ШАХРИСТАН,Алматы,Бостандыкский район,76.884695,43.207313
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Жетысуйском районе,Алматы,Жетысуский район,76.920649,43.301134
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ЖК Манхэттен,Алматы,Алмалинский район,76.877136,43.243531
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),ШевченкоНаурызбай батыра,Алматы,Турксибский район,77.011309,43.348096
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),3 мкр 42 3 этаж,Алматы,Ауэзовский район,76.850623,43.227702
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Рыскулова Петрова жк Ырысты,Алматы,Алатауский район,76.855521,43.266434
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Толе би,Алматы,Медеуский район,76.951064,43.256043
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Коктем 1 Район Бухар ЖырауШагабуддинова,,,,
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Айтеке би 98,Алматы,Алмалинский район,76.934514,43.257347
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),МанасаСатпаева Бостандыкский район,Алматы,Бостандыкский район,76.906774,43.197269
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),АбаяБрусиловского ЖК комфорт класс 11 этаж,Алматы,Бостандыкский район,76.897062,43.202892
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Квартира на 2 этаже,Алматы,Бостандыкский район,76.948348,43.232783
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Алмалинском районе,Алматы,Алмалинский район,76.912738,43.251274
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),2 микрорайон Гранд парк жанында,Алматы,Жетысуский район,76.939047,43.273815
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),сайран озера,Алматы,Ауэзовский район,76.860675,43.241514
АЛМАТЫ (КВАРЕНДАПОДСЕЛ🏠),Орбита 4,Алматы,Бостандыкский район,76.879142,43.200905
